Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP
2025-02-18 16:57:53.372455 +0000 UTC,192.168.0.3,52778,192.168.0.5,80,6,6,474,6,815,52,79,206,62,52,135,314,127,28000,717600,2109000,804225,19000,713800,2100000,801990,3591000,3591000,3591000,3591000,0,0,0,0,0,6,474,6,815,1,2,0,0,320,320,20000,0
2025-02-18 16:57:53.373225 +0000 UTC,192.168.0.3,52854,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,7000,473500,1796000,658737,193000,707250,1785000,730001,2841000,2841000,2841000,2841000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,1000,0
2025-02-18 16:57:53.372142 +0000 UTC,192.168.0.3,52712,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,10000,757666,2850000,1106465,148000,1134000,2820000,1198080,4546000,4546000,4546000,4546000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,20000,0
2025-02-18 16:57:53.372761 +0000 UTC,192.168.0.3,52812,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,7000,659333,3271000,1283716,174000,986500,3262000,1517691,3956000,3956000,3956000,3956000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,41000,0
2025-02-18 16:57:53.373969 +0000 UTC,192.168.0.3,52890,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,8000,463833,1851000,706264,168000,691750,1793000,757202,2783000,2783000,2783000,2783000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,208000,0
2025-02-18 16:57:53.373726 +0000 UTC,192.168.0.3,52874,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,9000,513166,2442000,952528,71000,767250,2433000,1115989,3079000,3079000,3079000,3079000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,105000,0
2025-02-18 16:57:53.37443 +0000 UTC,192.168.0.3,52932,192.168.0.5,80,6,6,474,6,815,52,79,206,62,52,135,314,127,5000,495000,1729000,708373,55000,495000,1716000,691130,2477000,2477000,2477000,2477000,0,0,0,0,0,6,474,6,815,1,2,0,0,320,320,145000,0
2025-02-18 16:57:53.374142 +0000 UTC,192.168.0.3,52904,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,5000,468166,2086000,797216,91000,699750,2074000,927274,2809000,2809000,2809000,2809000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,72000,0
2025-02-18 16:57:53.374881 +0000 UTC,192.168.0.3,52962,192.168.0.5,80,6,6,474,6,815,52,79,206,62,52,135,314,127,6000,414800,880000,384637,52000,414400,859000,345165,2075000,2075000,2075000,2075000,0,0,0,0,0,6,474,6,815,1,2,0,0,320,320,224000,0
2025-02-18 16:57:53.373989 +0000 UTC,192.168.0.3,52902,192.168.0.5,80,6,6,474,6,815,52,79,206,62,52,135,314,127,6000,618200,1533000,774335,63000,618000,1366000,674934,3093000,3093000,3093000,3093000,0,0,0,0,0,6,474,6,815,1,2,0,0,320,320,19000,0
2025-02-18 16:57:53.373053 +0000 UTC,192.168.0.3,52832,192.168.0.5,80,6,6,474,6,815,52,79,206,62,52,135,314,127,50000,876600,2859000,1153712,196000,876600,2851000,1121136,4385000,4385000,4385000,4385000,0,0,0,0,0,6,474,6,815,1,2,0,0,320,320,244000,0
2025-02-18 16:57:53.374657 +0000 UTC,192.168.0.3,52948,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,7000,482666,2333000,910232,71000,722000,2315000,1071326,2896000,2896000,2896000,2896000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,227000,0
2025-02-18 16:57:53.375089 +0000 UTC,192.168.0.3,52964,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,6000,444833,2019000,785790,51000,665500,2009000,908596,2669000,2669000,2669000,2669000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,208000,0
2025-02-18 16:57:53.373059 +0000 UTC,192.168.0.3,52844,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,5000,784666,2549000,1156268,10000,1175250,2555000,1271609,4708000,4708000,4708000,4708000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,6000,0
2025-02-18 16:57:53.371841 +0000 UTC,192.168.0.3,52620,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,49000,994333,2984000,1297667,271000,1487250,2975000,1386081,5966000,5966000,5966000,5966000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,0,0
2025-02-18 16:57:53.372298 +0000 UTC,192.168.0.3,52742,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,7000,920833,4343000,1693026,218000,1378750,4328000,1974749,5525000,5525000,5525000,5525000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,1000,0
