Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP,RootIntent,Intent,Target,From
2025-02-16 17:56:09.737378 +0000 UTC,192.168.0.1,52267,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3004081000,0,0,0,0,1001238000,1001360333,1001573000,184868,1,196,0,0,0,0,0,0,784,0,13504280000,0,Benign,req,wordpress,NA
2025-02-16 17:56:09.948919 +0000 UTC,192.168.0.101,50544,172.18.0.2,80,6,6,473,4,705,52,78,205,61,52,176,541,243,34000,684000,933000,434903,72000,487500,903000,587605,2238186000,920000,1368000,1816000,633567,2235450000,2235450000,2235450000,0,3,236,2,352,1,1,0,0,320,216,0,0,Benign,req,wordpress,NA
2025-02-16 17:56:12.153980 +0000 UTC,192.168.0.101,50552,172.18.0.2,80,6,9,645,7,23026,52,71,197,47,52,3289,7292,3758,34000,4713142,28560000,10527822,145000,6105400,27778000,12119671,2110757000,973000,16496000,32019000,21952837,2077765000,2077765000,2077765000,0,4,322,3,11513,1,4,0,0,500,372,0,0,Benign,req,wordpress,NA
2025-02-16 17:56:14.231178 +0000 UTC,192.168.0.101,50566,172.18.0.2,80,6,9,786,6,15100,52,87,210,67,52,2516,7292,3660,35000,4804142,20986000,7682136,563000,7728000,21930000,9958777,3053670000,1599000,16814500,32030000,21517966,3020041000,3020041000,3020041000,0,4,393,3,7550,2,3,0,0,476,320,2077198000,0,Benign,req,wordpress,NA
2025-02-16 17:56:17.032411 +0000 UTC,192.168.0.1,57531,239.255.255.250,1900,17,3,588,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,2001085000,0,0,0,0,1000256000,1000542500,1000829000,405172,1,196,0,0,0,0,0,0,588,0,7295033000,0,Benign,req,wordpress,NA
2025-02-16 17:56:17.257605 +0000 UTC,192.168.0.101,50574,172.18.0.2,80,6,7,525,5,7630,52,75,193,52,52,1526,7292,3223,16000,5213600,24144000,10592957,17000,8065333,22319000,12378385,2646644000,1103000,13034000,24965000,16872982,2620576000,2620576000,2620576000,0,3,262,2,3815,1,2,0,0,384,268,3026427000,0,Benign,req,wordpress,NA
2025-02-16 17:56:19.657522 +0000 UTC,192.168.0.1,42401,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3003379000,0,0,0,0,1000520000,1001126333,1001771000,626380,1,196,0,0,0,0,0,0,784,0,2625111000,0,Benign,req,wordpress,NA
2025-02-16 17:56:19.898593 +0000 UTC,192.168.0.101,47242,172.18.0.2,80,6,6,473,4,705,52,78,205,61,52,176,541,243,50000,1227500,2872000,1184323,59000,558500,1058000,706399,4270090000,931000,2455000,3979000,2155261,4265180000,4265180000,4265180000,0,3,236,2,352,1,1,0,0,320,216,2640988000,0,Benign,req,wordpress,NA
2025-02-16 17:56:24.116587 +0000 UTC,192.168.0.101,47244,172.18.0.2,80,6,9,786,6,15094,52,87,210,67,52,2515,7292,3658,49000,7344142,27656000,11244017,806000,12298000,29049000,13881605,2703456000,864000,25704500,50545000,35129771,2652047000,2652047000,2652047000,0,4,393,3,7547,2,3,0,0,476,320,4217994000,0,Benign,req,wordpress,NA
2025-02-16 17:56:26.774225 +0000 UTC,192.168.0.101,47246,172.18.0.2,80,6,9,786,6,15100,52,87,210,67,52,2516,7292,3660,29000,6459571,26962000,10367485,47000,10742250,28570000,13388624,3369858000,1454000,22608500,43763000,29916980,3324641000,3324641000,3324641000,0,4,393,3,7550,2,3,0,0,476,320,2657638000,0,Benign,req,wordpress,NA
2025-02-16 17:56:28.177442 +0000 UTC,192.168.0.1,40833,239.255.255.250,1900,17,2,392,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,1000986000,0,0,0,0,1000986000,1000986000,1000986000,0,1,196,0,0,0,0,0,0,392,0,8519920000,0,Benign,req,wordpress,NA
2025-02-16 17:56:30.138182 +0000 UTC,192.168.0.101,56830,172.18.0.2,80,6,7,525,4,705,52,75,205,57,52,176,541,243,33000,1431600,3072000,1484292,117000,1542000,2967000,2015254,3244769000,3072000,3579000,4086000,717006,3237611000,3237611000,3237611000,0,3,262,2,352,1,1,0,0,372,216,3363957000,0,Benign,req,wordpress,NA
2025-02-16 17:56:30.178195 +0000 UTC,192.168.0.1,56125,239.255.255.250,1900,17,3,588,0,0,196,196,196,0,0,0,0,0,999092000,999092000,999092000,0,0,0,0,0,2002125000,999092000,499546000,999092000,706464728,1003033000,1003033000,1003033000,0,1,294,0,0,0,0,0,0,588,0,2000753000,0,Benign,req,wordpress,NA
2025-02-16 17:56:32.265425 +0000 UTC,192.168.0.1,50435,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3002460000,0,0,0,0,1000382000,1000820000,1001376000,507397,1,196,0,0,0,0,0,0,784,0,2087230000,0,Benign,req,wordpress,NA
2025-02-16 17:56:33.348170 +0000 UTC,192.168.0.101,56836,172.18.0.2,80,6,9,786,6,15097,52,87,210,67,52,2516,7292,3659,22000,4607142,19151000,7338065,148000,7551500,19925000,9243273,3989522000,1130000,16125000,31120000,21206132,3957272000,3957272000,3957272000,0,4,393,3,7548,2,3,0,0,476,320,3209988000,0,Benign,req,wordpress,NA
2025-02-16 17:56:46.914384 +0000 UTC,192.168.0.1,40502,239.255.255.250,1900,17,1,196,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,196,0,0,0,0,0,0,196,0,14648959000,0,Benign,req,wordpress,NA
2025-02-16 17:56:48.834726 +0000 UTC,192.168.0.60,53822,172.18.0.2,80,6,7,525,5,7630,52,75,193,52,52,1526,7292,3223,25000,4282600,19306000,8413394,29000,6454000,18590000,10516145,3832968000,1097000,10706500,20316000,13589885,3811555000,3811555000,3811555000,0,3,262,2,3815,1,2,0,0,384,268,0,0,Benign,req,wordpress,NA
2025-02-16 17:56:52.636221 +0000 UTC,192.168.0.60,42086,172.18.0.2,80,6,9,645,7,23029,52,71,197,47,52,3289,7292,3758,23000,4535571,27697000,10219295,453000,6017600,24815000,10550757,4830347000,828000,15874500,30921000,21278964,4798598000,4798598000,4798598000,0,4,322,3,11514,1,4,0,0,500,372,0,0,Benign,req,wordpress,NA
2025-02-16 17:56:57.441100 +0000 UTC,192.168.0.60,42094,172.18.0.2,80,6,9,645,7,23032,52,71,197,47,52,3290,7292,3757,42000,3596000,21410000,7882406,120000,4490400,20530000,8971742,2627335000,753000,12586000,24419000,16734389,2602163000,2602163000,2602163000,0,4,322,3,11516,1,4,0,0,500,372,4804879000,0,Benign,req,wordpress,NA
2025-02-16 17:56:59.465303 +0000 UTC,192.168.0.1,46738,239.255.255.250,1900,17,3,588,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,2001869000,0,0,0,0,1000458000,1000934500,1001411000,673872,1,196,0,0,0,0,0,0,588,0,12550919000,0,Benign,req,wordpress,NA
2025-02-16 17:57:00.026016 +0000 UTC,192.168.0.60,34332,172.18.0.2,80,6,7,517,7,15787,52,73,197,54,52,2255,7292,3457,43000,8294600,38928000,17135488,51000,11364400,37854000,16257883,5061366000,16331000,28902000,41473000,17778078,5003562000,5003562000,5003562000,0,3,258,3,7893,1,3,0,0,372,372,2584916000,0,Benign,req,wordpress,NA
2025-02-16 17:57:01.711002 +0000 UTC,192.168.0.1,54607,239.255.255.250,1900,17,3,588,0,0,196,196,196,0,0,0,0,0,999723000,999723000,999723000,0,0,0,0,0,2000620000,0,499861500,999723000,706910912,1000897000,1000897000,1000897000,0,1,294,0,0,0,0,0,0,588,0,2245699000,0,Benign,req,wordpress,NA
2025-02-16 17:57:04.072876 +0000 UTC,192.168.0.1,36974,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,999817000,999817000,999817000,0,0,0,0,0,3002906000,0,333272333,999817000,577244614,1001373000,1001544500,1001716000,242537,1,261,0,0,0,0,0,0,784,0,2361874000,0,Benign,req,wordpress,NA
2025-02-16 17:57:05.014161 +0000 UTC,192.168.0.60,34340,172.18.0.2,80,6,9,987,9,6136,52,109,264,86,52,681,4687,1518,29000,11523833,49338000,19611905,556000,11379666,42076000,16135849,18335902000,857000,36761333,69143000,34279021,5003736000,9112809000,13221882000,-9223372036854775808,3,329,3,2045,3,3,0,0,476,476,4988145000,0,Benign,req,wordpress,NA
2025-02-16 17:57:08.919231 +0000 UTC,192.168.0.60,34350,172.18.0.2,80,6,7,513,5,7630,52,73,193,52,52,1526,7292,3223,29000,3973400,15840000,6682172,748000,6041333,15125000,7902499,3709842000,735000,9933500,19132000,13008643,3689975000,3689975000,3689975000,0,3,256,2,3815,1,2,0,0,372,268,3905070000,0,Benign,req,wordpress,NA
